"","Idimpianto","Gestore","Bandiera","Tipo.Impianto","Nome.Impianto","Indirizzo","Comune","Provincia","Latitudine","Longitudine"
"91",21391,"PLANET OIL SRL","Api-Ip","Altro","Planet Oil Via Tolemaide","VIA TOLEMAIDE 7 R 16129","GENOVA","GE",44.4046855661,8.9530154863
"92",26913,"GESTIONI INNOVATIVE ITALIA S.R.L.","Agip Eni","Altro","PV 55863","VIA SAN QUIRICO 160/R 16163","GENOVA","GE",44.4896969977,8.9015892148
"93",25364,"BARISONE S.A.S. DI BARISONE PAOLA & C.","Q8","Altro","Q8","VIA RONCHI 40 16155","GENOVA","GE",44.4250464409,8.8248204606
"94",22187,"PERASSOLO S.A.S. DI PERASSOLO PATRIZIA","Q8","Altro","Q8  di Perassolo Emilio & c snc","LUNGOMARE CANEPA GIUSEPPE 2 ROSSO 16149","GENOVA","GE",44.4071039147,8.8983283824
"95",9259,"FERRETTI WALTER","Q8","Altro","Q8 Ferretti Walter ","Via Borzoli 39 C ","GENOVA","GE",44.4255848388,8.8559272885
"96",5943,"GESTIONI EUROPA S.p.A.","Total Erg","Altro","ROMAIRONE","Via Romairone 6/R 16163","GENOVA","GE",44.4704457422,8.9011141399
"97",3474,"Sant'Ilario Service sas","Total Erg","Autostradale","S.ILARIO NORD","Autostrada A12 GENOVA-SESTRI L., Km. 14+500, dir. Ovest","GENOVA","GE",44.3931,9.04569
"98",23908,"RUSSO GIOVANNI S.N.C.","Q8","Autostradale","S.ILARIO SUD","A12 GENOVA-SESTRI L., Km. 14, EST 16167","GENOVA","GE",44.3925146453,9.0459121764
"99",7512,"ZONZA GIANLUIGI","Api-Ip","Altro","SELF CENTER ZONZA","VIA DIAZ ARMANDO 23B/R 16121","GENOVA","GE",44.4010573118,8.9462345839
"100",10006,"MALAGOLI LUISA","Q8","Altro","servizio q8","via aldo manuzio 40h, ","GENOVA","GE",44.4088307757,8.9657294651
"101",23764,"SERVIZI & GESTIONI ITALIA S.R.L.","Q8","Altro","SESTRI PONENTE VIA BORZOLI 13 R","VIA BORZOLI 13 R 16153","GENOVA","GE",44.424886242,8.8553211093
"102",21456,"SPAGNOLO E AMATO DI GIAN DAMIANO PASTORINO & C. SOCIETA' IN NOME COLLETTIVO","Esso","Altro","SPAGNOLO E AMATO SNC","CALATA MOGADISCIO  16100","GENOVA","GE",44.4077983822,8.893089965
"103",21708,"ZEREGA SABRINA","Pompe Bianche","Altro","STAR OIL","VIA TOLEMAIDE 13 R, 16129","GENOVA","GE",44.4047753,8.9535106
"104",28766,"DUE ESSE S.R.L.","Pompe Bianche","Altro","STAROIL","VIA TOLEMAIDE 13R 16129","GENOVA","GE",44.4046535332,8.955313621
"105",15776,"GULISANO ANGELO","Agip Eni","Altro","Stazione Agip di Gulisano Angelo","CORSO EUROPA 213 16132","GENOVA","GE",44.4070031546,8.9789560042
"106",25647,"STAZIONE DI SERVIZIO ANTONELLA DI GAGLIONE RAIMONDO DANILO E C. - SOCIETA' IN ACCOMANDITA SEMPLICE","Api-Ip","Altro","stazione di servizio Antonella","CORSO EUROPA 1259, 16148","GENOVA","GE",44.3924358726,9.00839746
"107",16991,"LIGUORI ANDREA","Api-Ip","Altro","Stazione di servizio di Liguori Andrea","VIA TOLEMAIDE 9 R 16129","GENOVA","GE",44.4046854975,8.9530856746
"108",16645,"LIGUORI DANIELE","Api-Ip","Altro","Stazione di servizio di Liguori Daniele","CORSO MAGENTA - STAZ. IP null, 16125","GENOVA","GE",44.4147500239,8.9382459808
"109",6350,"CROVETTI ALBERTO","Agip Eni","Altro","STAZIONE DI SERVIZIO ENI DI CROVETTI ALBERTO","VIA SIFFREDI ANGELO 54R,NOVA 16153","GENOVA","GE",44.4189645946,8.8589072227
"110",8682,"ZANONI PIERLUIGI","Esso","Altro","stazione di servizio ESSO di Zanoni","CORSO EUROPA 844 16148","GENOVA","GE",44.3987965731,8.9929747581
"111",24398,"C.A.S.T.O.M. SERVICE - SOCIETA' IN NOME COLLETTIVO DI COSTANZO IS ABELLA E SAMBIASE DOMENICO","Total Erg","Altro","stazione di servizio Total Erg","VIA CARLO CAMOZZINI 112I/R 16158","GENOVA","GE",44.4283067392,8.7459681183
"112",7182,"CAPOGRECO VINCENZO E LUCA S.N.C.","Agip Eni","Altro","stazione ENI","VIA ARCHIMEDE 177R 16142","GENOVA","GE",44.4069590109,8.9526670779
"113",27976,"EMMEGAS S.N.C. DI CAIRO MARIO E BERTULLACELLI MAURIZIO & C.","Ies","Altro","Stazione IES","VIA GASTALDI GIROLAMO 30-32 RR 16163","GENOVA","GE",44.4852049433,8.8977087577
"114",18979,"BONA RICCARDO","Api-Ip","Altro","Stazione IP di Bona Riccardo (Benzine & Tabacchi)","VIA LEMERLE 23R 16158","GENOVA","GE",44.4314121558,8.7513868511
"115",29951,"FORTUNE S.N.C. DI SIMONE LOMUOIO E MATTIA CASAGRANDE","Q8","Altro","STAZIONE Q8 FORTUNE","via borzoli 39 C 16154","GENOVA","GE",44.4268776136,8.856953904
"116",7164,"MANTERO CARLO","Agip Eni","Altro","stazione servizio ENI","VIA BOLOGNA 24 M/R 16127","GENOVA","GE",44.4187025203,8.9076831937
"117",29457,"G. L. M. SERVICE SNC DI VARGIU LUIGI & C.","Esso","Altro","Stazione servizio Esso G.l.m. service snc","VIA RONCHI 38 16155","GENOVA","GE",44.4251534482,8.8253651908
"118",15291,"DELFINO MAURO","Tamoil","Altro","Tamoil","VIA TANINI GIULIO 24 R 16133","GENOVA","GE",44.4080716121,8.9900921981
"119",17533,"MENINI ROBERTO","Tamoil","Altro","tamoil","Corso europa 770 16148","GENOVA","GE",44.3989645984,8.9906910964
